饰品名称,Buff当前价格,Buff当前在售数量
格洛克 18 型 | 钢铁禁锢 (崭新出厂),11.9,179
USP 消音版（纪念品） | 引擎故障灯 (战痕累累),43.9,33
沙漠之鹰（纪念品） | 都市瓦砾 (略有磨损),47.4,181
双持贝瑞塔 | 报应 (崭新出厂),13.69,22
Tec-9（StatTrak™） | 剪纸 (略有磨损),14.9,24
P2000 | 林间猎者 (略有磨损),24.89,40
双持贝瑞塔（StatTrak™） | 卡特尔 (崭新出厂),14.7,36
P250（StatTrak™） | 曼海蒂 (略有磨损),179.4,60
FN57 | 热火朝天 (崭新出厂),10.1,117
CZ75（StatTrak™） | 毒镖 (略有磨损),12.5,80
USP 消音版 | 疯狂蔓延 (久经沙场),102.5,152
P250 | 红岩 (略有磨损),30.62,32
P250 | 葡萄酒 (战痕累累),14.8,31
FN57（StatTrak™） | 夜影 (略有磨损),18.9,45
沙漠之鹰（StatTrak™） | 大佬龙 (战痕累累),153.38,45
P250 | 孟加拉猛虎 (破损不堪),59.9,44
USP 消音版（StatTrak™） | 次时代 (破损不堪),29.19,25
FN57（StatTrak™） | 狩猎利器 (略有磨损),36.49,45
P2000 | 绝命密电 (破损不堪),25.34,19
P250 | 卡特尔 (崭新出厂),57.6,60
格洛克 18 型（StatTrak™） | 钢铁禁锢 (略有磨损),17.8,125
FN57（StatTrak™） | 耍猴把戏 (略有磨损),119.38,74
沙漠之鹰 | 钴蓝禁锢 (久经沙场),172.5,29
R8 左轮手枪（StatTrak™） | 头骨粉碎者 (破损不堪),17.48,22
Tec-9（StatTrak™） | 钛片 (崭新出厂),45.9,38
FN57 | 氮化处理 (略有磨损),21.3,33
Tec-9（StatTrak™） | 青竹伪装 (崭新出厂),16.23,82
P250 | 葡萄酒 (崭新出厂),62.9,123
USP 消音版（StatTrak™） | 不锈钢 (战痕累累),48.4,100
CZ75（StatTrak™） | 红鹰 (崭新出厂),22,86
USP 消音版 | 宝蓝之色 (战痕累累),62.35,32
CZ75（StatTrak™） | 蓝巢 (略有磨损),16.58,62
CZ75 | 梅红时刻 (破损不堪),194.38,2
双持贝瑞塔 | 血红蛋白 (略有磨损),39.09,42
P250 | 曼海蒂 (久经沙场),58.23,42
P250 | 生化短吻鳄 (破损不堪),19.4,41
双持贝瑞塔（StatTrak™） | 海斗士 (崭新出厂),151.5,12
R8 左轮手枪 | 渐变之色 (破损不堪),39,6
FN57 | 怒氓 (战痕累累),14.8,47
P2000（StatTrak™） | 手炮 (崭新出厂),46.9,58
P250 | 多面体 (崭新出厂),192.49,12
P2000 | 渐变琥珀 (破损不堪),21.9,30
格洛克 18 型（纪念品） | 核子反应 (战痕累累),44.3,103
FN57 | 表面淬火 (破损不堪),29.3,186
格洛克 18 型（纪念品） | 核子反应 (久经沙场),79.8,301
CZ75 | 银质 (略有磨损),10.9,39
P250 | 核子威慑 (略有磨损),197.5,41
双持贝瑞塔 | 毒蛇袭击 (战痕累累),119.5,4
双持贝瑞塔 | 毒蛇袭击 (久经沙场),122.3,14
双持贝瑞塔（StatTrak™） | 血红蛋白 (崭新出厂),64.7,51
格洛克 18 型（StatTrak™） | 摩登时代 (破损不堪),51.43,16
USP 消音版 | 猎户 (久经沙场),99.5,62
USP 消音版（纪念品） | 宝蓝之色 (破损不堪),51.29,66
双持贝瑞塔 | 海斗士 (崭新出厂),42.89,37
Tec-9（StatTrak™） | 坍雪寒裘 (崭新出厂),49.36,74
CZ75（StatTrak™） | 维多利亚 (久经沙场),108.5,33
双持贝瑞塔（StatTrak™） | 都市冲击 (战痕累累),14.29,4
P250（StatTrak™） | 死亡轮回 (崭新出厂),102.5,124
沙漠之鹰（StatTrak™） | 遗产 (略有磨损),82.89,132
USP 消音版 | 宝蓝之色 (破损不堪),49.9,35
沙漠之鹰 | 午夜凶匪 (破损不堪),69.29,27
CZ75（StatTrak™） | 深红之网 (略有磨损),17.7,139
P250 | 多面体 (略有磨损),13.1,21
格洛克 18 型 | 核子花园 (破损不堪),22.9,17
R8 左轮手枪（StatTrak™） | 深红之网 (崭新出厂),103.99,50
USP 消音版（StatTrak™） | 蓝图 (战痕累累),38.09,38
双持贝瑞塔（StatTrak™） | 血红蛋白 (略有磨损),58.77,27
Tec-9 | 核子威慑 (久经沙场),58.79,47
双持贝瑞塔（StatTrak™） | 都市冲击 (久经沙场),10.27,26
P250 | 孟加拉猛虎 (战痕累累),62.7,71
FN57 | 怒氓 (破损不堪),17.62,41
Tec-9（纪念品） | 多变迷彩 (崭新出厂),14.6,90
USP 消音版（StatTrak™） | 黑色魅影 (战痕累累),154.5,41
R8 左轮手枪（StatTrak™） | 渐变之色 (略有磨损),140.49,80
P250 | 卡特尔 (战痕累累),16.9,15
CZ75（StatTrak™） | 蓝巢 (崭新出厂),46,25
FN57 | 氮化处理 (崭新出厂),62.8,13
FN57（纪念品） | 雇佣兵 (崭新出厂),35.18,36
P2000（StatTrak™） | 林间猎者 (久经沙场),49.7,12
FN57 | 暴怒野兽 (略有磨损),130.89,83
CZ75 | 梅红时刻 (略有磨损),159,43
格洛克 18 型（StatTrak™） | 黑色魅影 (战痕累累),89.5,39
沙漠之鹰（StatTrak™） | 指挥 (崭新出厂),163.5,19
Tec-9 | 上古图腾 (破损不堪),67.8,35
双持贝瑞塔（纪念品） | 爆破能手 (破损不堪),19.14,25
P2000（StatTrak™） | 林间猎者 (略有磨损),89.9,7
格洛克 18 型（StatTrak™） | 水灵 (战痕累累),43.8,31
格洛克 18 型 | 暮光星系 (久经沙场),164.5,14
Tec-9 | 锈叶 (破损不堪),39.69,22
P250（StatTrak™） | 曼海蒂 (破损不堪),134.5,18
双持贝瑞塔 | 双涡轮 (战痕累累),11.49,54
Tec-9 | 锈叶 (战痕累累),38.78,20
沙漠之鹰 | 午夜风暴 (破损不堪),55.3,35
沙漠之鹰 | 午夜风暴 (战痕累累),54.69,37
CZ75 | 氮化处理 (崭新出厂),97.7,10
USP 消音版 | 公路杀手 (战痕累累),97.68,27
USP 消音版（StatTrak™） | 力矩 (破损不堪),15.02,45
格洛克 18 型（StatTrak™） | 皇家军团 (破损不堪),12.65,37
P250（StatTrak™） | 死亡轮回 (破损不堪),69.7,4
USP 消音版 | 不锈钢 (破损不堪),23.8,31
FN57（StatTrak™） | 狩猎利器 (战痕累累),19.23,12
R8 左轮手枪（StatTrak™） | 记忆碎片 (崭新出厂),16.8,34
FN57 | 狩猎利器 (崭新出厂),33.9,56
P250 | 狂野飞溅 (久经沙场),67.64,9
FN57 | 电镀青铜 (略有磨损),28.15,7
FN57 | 电镀青铜 (略有磨损),28.15,7
P250 | 现代猎手 (久经沙场),35.9,13
P2000（纪念品） | 渐变琥珀 (久经沙场),32.48,74
R8 左轮手枪（StatTrak™） | 美洲驼炮 (战痕累累),17.67,24
格洛克 18 型（StatTrak™） | 异星世界 (崭新出厂),12.8,176
P250（纪念品） | 北方森林 (略有磨损),71.27,30
P250（StatTrak™） | 红岩 (久经沙场),49.38,21
P2000（纪念品） | 渐变琥珀 (略有磨损),48.8,47
双持贝瑞塔 | 黑榄仁木 (崭新出厂),58.88,6
P250（纪念品） | 葡萄酒 (战痕累累),39.8,35
P2000 | 火灵 (战痕累累),31.16,22
USP 消音版（纪念品） | 公路杀手 (破损不堪),132,97
沙漠之鹰 | 遗产 (战痕累累),19.78,36
P250（纪念品） | 葡萄酒 (久经沙场),63.79,59
Tec-9（纪念品） | 黄铜 (略有磨损),61.68,77
格洛克 18 型 | 蓝色裂纹 (崭新出厂),54.9,32
Tec-9 | 哈迪斯 (久经沙场),37.7,18
P250 | 暗之镂刻 (战痕累累),23.78,25
沙漠之鹰 | 遗产 (破损不堪),26.78,16
FN57（StatTrak™） | 表面淬火 (崭新出厂),198.49,70
沙漠之鹰（纪念品） | 都市瓦砾 (崭新出厂),81.5,168
P250（纪念品） | 骸骨外罩 (崭新出厂),24.9,33
格洛克 18 型（StatTrak™） | 皇家军团 (战痕累累),10.97,60
USP 消音版（StatTrak™） | 力矩 (战痕累累),22.1,9
FN57（StatTrak™） | 狩猎利器 (破损不堪),15.7,17
沙漠之鹰 | 大佬龙 (破损不堪),63.9,23
R8 左轮手枪 | 噩梦之夜 (崭新出厂),13.3,60
USP 消音版（StatTrak™） | 闪回 (战痕累累),11.86,28
沙漠之鹰（StatTrak™） | 机械工业 (战痕累累),43.6,57
P2000 | 火灵 (破损不堪),39.8,6
Tec-9（StatTrak™） | 艾萨克 (崭新出厂),84.89,60
Tec-9（StatTrak™） | 屠杀者 (破损不堪),95.14,5
CZ75（StatTrak™） | 花纹钢板 (崭新出厂),45.78,68
R8 左轮手枪（StatTrak™） | 美洲驼炮 (破损不堪),23.87,15
P2000 | 工业牧草 (崭新出厂),18.43,6
P250（StatTrak™） | 生化短吻鳄 (战痕累累),32.67,37
CZ75（StatTrak™） | 花纹钢板 (略有磨损),41.7,34
沙漠之鹰（StatTrak™） | 青铜装饰 (战痕累累),13.4,10
格洛克 18 型 | 沙丘之黄 (略有磨损),31.78,42
Tec-9（纪念品） | 核子剧毒 (崭新出厂),163.5,81
Tec-9（StatTrak™） | 屠杀者 (略有磨损),165.49,41
FN57 | 氮化处理 (战痕累累),24.27,2
双持贝瑞塔 | 黑榄仁木 (久经沙场),21.9,26
沙漠之鹰 | 深红之网 (破损不堪),26.9,56
Tec-9（纪念品） | 晶红石英 (崭新出厂),103.88,47
Tec-9 | 核子威慑 (破损不堪),74.9,11
CZ75（StatTrak™） | 相柳 (战痕累累),49.96,14
USP 消音版（StatTrak™） | 蓝图 (破损不堪),72.8,11
Tec-9 | 上古图腾 (战痕累累),66.7,17
格洛克 18 型 | 地下水 (崭新出厂),128.37,19
CZ75 | 氮化处理 (久经沙场),20.9,11
USP 消音版（StatTrak™） | 血清 (略有磨损),175.05,28
格洛克 18 型（StatTrak™） | 皇家军团 (崭新出厂),98.29,91
FN57 | 雇佣兵 (崭新出厂),33.5,12
P250（StatTrak™） | 曼海蒂 (久经沙场),175,51
P2000 | 寻路者 (略有磨损),39.98,41
P2000 | 银质 (略有磨损),29.9,9
双持贝瑞塔 | 毒蛇袭击 (崭新出厂),186.5,43
P250（纪念品） | 北方森林 (久经沙场),19.9,35
双持贝瑞塔 | 熊熊烈焰 (战痕累累),57.8,14
Tec-9（StatTrak™） | 剪纸 (久经沙场),12.06,12
P2000 | 寻路者 (久经沙场),53.4,8
P250（StatTrak™） | 卡特尔 (战痕累累),51.9,8
沙漠之鹰（StatTrak™） | 机械工业 (破损不堪),55.35,24
FN57（StatTrak™） | 表面淬火 (破损不堪),46.1,64
双持贝瑞塔 | 黑榄仁木 (战痕累累),23.4,12
Tec-9（纪念品） | 黄铜 (破损不堪),22.3,51
P2000 | 草原落叶 (略有磨损),54.07,11
P2000 | 廉价皮革 (久经沙场),26.84,4
双持贝瑞塔 | 翡翠色调 (略有磨损),159.4,18
Tec-9（纪念品） | 晶红石英 (略有磨损),43.01,43
CZ75 | 花纹钢板 (久经沙场),34.77,3
双持贝瑞塔（纪念品） | 双涡轮 (战痕累累),119.5,10
R8 左轮手枪（纪念品） | 氮化处理 (崭新出厂),110.8,13
双持贝瑞塔 | 爆破能手 (破损不堪),14.95,4
双持贝瑞塔 | 熊熊烈焰 (破损不堪),58.58,20
格洛克 18 型 | 沙丘之黄 (破损不堪),14.73,4
Tec-9（纪念品） | 陆军网格 (略有磨损),20.68,12
双持贝瑞塔（StatTrak™） | 报应 (破损不堪),11.85,2
P2000 | 草原落叶 (破损不堪),18.17,7
P2000 | 草原落叶 (破损不堪),18.17,7
P250 | 日式薄荷涂装 (破损不堪),10.05,6
双持贝瑞塔（StatTrak™） | 黑榄仁木 (破损不堪),30.3,4
格洛克 18 型 | 地下水 (破损不堪),19.22,10
P2000 | 廉价皮革 (战痕累累),29.9,1
P250 | 狂野飞溅 (崭新出厂),153.49,19
P250（纪念品） | 交换机 (崭新出厂),30.8,32
P2000（纪念品） | 坚固链甲 (久经沙场),28.7,29
双持贝瑞塔 | 决斗家 (久经沙场),117,10
格洛克 18 型（纪念品） | 噩梦之夜 (崭新出厂),160.5,32
P250 | 硝烟 (崭新出厂),64.6,15
R8 左轮手枪（StatTrak™） | 记忆碎片 (破损不堪),6.19,1
P250 | 核子威慑 (久经沙场),40.03,53
Tec-9（StatTrak™） | 屠杀者 (战痕累累),47.6,8
P250 | 现代猎手 (略有磨损),98.89,13
P250 | 死亡轮回 (战痕累累),14.73,29
FN57 | 氮化处理 (破损不堪),24.9,2
P2000（StatTrak™） | 林间猎者 (崭新出厂),118,8
格洛克 18 型 | 地下水 (战痕累累),22.69,17
FN57（StatTrak™） | 夜影 (崭新出厂),18.7,95
CZ75（StatTrak™） | 维多利亚 (略有磨损),175.69,47
格洛克 18 型（StatTrak™） | 荒野反叛 (破损不堪),114.5,9
P250 | 暗之镂刻 (破损不堪),24.5,8
P250（StatTrak™） | 超新星 (破损不堪),10.9,6
双持贝瑞塔 | 黑榄仁木 (破损不堪),23.9,7
双持贝瑞塔（StatTrak™） | 都市冲击 (破损不堪),13.4,4
FN57（纪念品） | 暮色森林 (崭新出厂),34.3,22
USP 消音版 | 疯狂蔓延 (破损不堪),118.95,17
Tec-9（纪念品） | 黄铜 (战痕累累),26.3,51
P250（纪念品） | 金属 DDPAT (略有磨损),27.7,11
P250（纪念品） | 交换机 (战痕累累),19.9,3
CZ75 | 维多利亚 (破损不堪),61.11,4
双持贝瑞塔（纪念品） | 殖民侵略者 (崭新出厂),18.9,19
P2000（StatTrak™） | 珊瑚树 (崭新出厂),149.49,9
P2000 | 林间猎者 (崭新出厂),37.7,20
FN57（纪念品） | 橘皮涂装 (崭新出厂),79.9,11
Tec-9 | 黄铜 (崭新出厂),79.9,5
USP 消音版 | 血清 (久经沙场),159.5,9
CZ75（StatTrak™） | 花纹钢板 (久经沙场),49.5,8
FN57 | 狂野丛林 (略有磨损),10.3,8
Tec-9 | 哈迪斯 (战痕累累),44.1,11
P250 | 死亡轮回 (破损不堪),21.5,6
P250（StatTrak™） | 狂野飞溅 (久经沙场),106.39,5
P2000 | 致命红蝎 (略有磨损),48.41,5
沙漠之鹰（StatTrak™） | 深红之网 (破损不堪),69.9,14
CZ75（StatTrak™） | 毒镖 (战痕累累),7.48,1
沙漠之鹰（纪念品） | 都市瓦砾 (战痕累累),60.89,15
P250（StatTrak™） | 曼海蒂 (战痕累累),88.78,9
双持贝瑞塔（StatTrak™） | 海斗士 (战痕累累),31.8,2
双持贝瑞塔 | 天秤之月 (战痕累累),12.36,5
P250（纪念品） | 硝烟 (崭新出厂),178.5,25
P250 | 日式深红涂装 (战痕累累),57.48,12
Tec-9（StatTrak™） | 剪纸 (崭新出厂),58.89,20
P250 | 暗潮 (久经沙场),134.19,7
双持贝瑞塔 | 决斗家 (略有磨损),139.5,4
USP 消音版 | 猎户 (破损不堪),189.49,2
Tec-9（纪念品） | 地下水 (战痕累累),38.26,5
CZ75 | 翡翠色调 (略有磨损),50.1,5
FN57（StatTrak™） | 三位一体 (战痕累累),14.4,4
双持贝瑞塔 | 海斗士 (战痕累累),18.6,2
CZ75 | 氮化处理 (破损不堪),29.7,3
双持贝瑞塔（纪念品） | 雇佣兵 (略有磨损),20.18,8
P250 | 曼海蒂 (破损不堪),55.9,8
沙漠之鹰（StatTrak™） | 遗产 (破损不堪),106.5,5
USP 消音版 | 凯门鳄 (破损不堪),113.86,4
P2000 | 廉价皮革 (破损不堪),19.87,2
FN57（StatTrak™） | 三位一体 (破损不堪),17.9,4
CZ75（StatTrak™） | 黄夹克 (战痕累累),27.89,11
FN57 | 狂野丛林 (崭新出厂),37.9,12
P250 | 富兰克林 (破损不堪),10.8,20
双持贝瑞塔（StatTrak™） | 黑榄仁木 (崭新出厂),154.5,2
CZ75（StatTrak™） | 相柳 (破损不堪),55.2,3
Tec-9（纪念品） | 遥控 (破损不堪),179,8
P250（StatTrak™） | 卡特尔 (破损不堪),98.9,1
双持贝瑞塔 | 决斗家 (破损不堪),108.38,3
沙漠之鹰（纪念品） | 泥地杀手 (久经沙场),199.5,14
P250 | 核子威慑 (破损不堪),69.9,3
双持贝瑞塔（纪念品） | 人工染色 (久经沙场),89.9,5
USP 消音版 | 商业皮革 (破损不堪),84.9,2
Tec-9（StatTrak™） | 钛片 (久经沙场),67.57,2
P2000 | 廉价皮革 (略有磨损),29.89,5
P250（StatTrak™） | 暗潮 (久经沙场),119,2
双持贝瑞塔 | 报应 (略有磨损),12.7,1
USP 消音版 | 商业皮革 (战痕累累),88.23,4
Tec-9（纪念品） | 核子剧毒 (破损不堪),39.9,8
P2000 | 廉价皮革 (崭新出厂),51.56,12
USP 消音版（StatTrak™） | 不锈钢 (破损不堪),119.5,12
P2000（StatTrak™） | 林间猎者 (破损不堪),50.74,2
双持贝瑞塔（StatTrak™） | 黑榄仁木 (战痕累累),27.8,6
P250 | 银装素裹 (战痕累累),19.68,10
双持贝瑞塔（StatTrak™） | 报应 (略有磨损),12.17,6
FN57（StatTrak™） | 夜影 (战痕累累),21.4,3
FN57（StatTrak™） | 夜影 (破损不堪),14.06,6
P250 | 骸骨外罩 (崭新出厂),16.26,7
P250 | 卡特尔 (破损不堪),22.1,6
双持贝瑞塔（StatTrak™） | 海斗士 (破损不堪),32.38,1
P250 | 日式深红涂装 (破损不堪),59.39,3
R8 左轮手枪（纪念品） | 渐变琥珀 (久经沙场),83.95,16
沙漠之鹰（纪念品） | 都市瓦砾 (破损不堪),63.9,14
P2000 | 草原落叶 (战痕累累),15.78,13
CZ75（StatTrak™） | 维多利亚 (战痕累累),152.02,7
P2000（StatTrak™） | 林间猎者 (战痕累累),39.9,6
P2000（纪念品） | 工业牧草 (崭新出厂),25.8,21
P2000（纪念品） | 渐变琥珀 (破损不堪),199.5,5
USP 消音版（StatTrak™） | 血清 (久经沙场),174.5,7
FN57（StatTrak™） | 怒氓 (破损不堪),72.8,5
P2000（纪念品） | 坚毅大理石纹 (久经沙场),48.46,8
FN57（StatTrak™） | 铜色星系 (久经沙场),49.4,4
双持贝瑞塔（StatTrak™） | 血红蛋白 (久经沙场),73.83,3
Tec-9（纪念品） | 地下水 (略有磨损),48.78,16
P250 | 多面体 (破损不堪),9.91,2
双持贝瑞塔（纪念品） | 深蓝电镀处理 (略有磨损),41.74,3
P250（StatTrak™） | 红岩 (破损不堪),44.52,1
FN57 | 狂野丛林 (破损不堪),6.12,1
双持贝瑞塔 | 决斗家 (战痕累累),175.72,3
双持贝瑞塔（纪念品） | 双涡轮 (破损不堪),142,14
Tec-9（纪念品） | 遥控 (战痕累累),197.5,1
P250（纪念品） | 核子威慑 (战痕累累),125.5,8
P2000 | 林间猎者 (破损不堪),24.75,2
FN57（纪念品） | 银白石英 (久经沙场),149.38,4
Tec-9（纪念品） | 陆军网格 (崭新出厂),76.74,11
CZ75 | 毒镖 (战痕累累),10.55,1
格洛克 18 型（纪念品） | 核子花园 (战痕累累),194.5,3
Tec-9（纪念品） | 晶红石英 (破损不堪),89.14,2
CZ75（StatTrak™） | 蓝巢 (破损不堪),10.55,2
P2000（StatTrak™） | 火灵 (战痕累累),143.5,9
CZ75 | 氮化处理 (战痕累累),27.9,2
P250 | 现代猎手 (破损不堪),29.25,9
双持贝瑞塔（纪念品） | 人工染色 (战痕累累),58.79,3
Tec-9 | 核子威慑 (战痕累累),62.31,1
P250 | 现代猎手 (战痕累累),37.02,7
P2000（纪念品） | 坚毅大理石纹 (战痕累累),59.8,4
P250（纪念品） | 北方森林 (破损不堪),32.64,6
P2000（纪念品） | 坚毅大理石纹 (略有磨损),94.9,4
